loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,pub_rec,pub_rec_bankruptcies,issue_year,loan_amnt_ctg,funded_amnt_inv_ctg,annual_inc_ctg
14000,14000,14000.0,60,16.7,346.21,D,D2,4,MORTGAGE,65000.0,Oct-11,Charged Off,debt_consolidation,NV,20.42,0,0.0,11,2,2,6
11000,11000,10975.0,36,14.2,377.4,C,C2,1,MORTGAGE,85000.0,Oct-11,Fully Paid,debt_consolidation,NC,17.99,0,0.0,11,2,2,8
27400,27400,27150.0,60,17.2,684.95,D,D3,10,MORTGAGE,143500.0,Oct-11,Charged Off,debt_consolidation,CA,17.63,0,0.0,11,5,5,14
8875,8875,8875.0,36,16.2,313.3,D,D1,1,RENT,32400.0,Oct-11,Fully Paid,debt_consolidation,CA,23.22,0,0.0,11,1,1,3
7000,7000,7000.0,60,18.2,178.71,D,D5,1,RENT,20004.0,Oct-11,Charged Off,debt_consolidation,CA,11.82,0,0.0,11,1,1,2
5000,5000,4750.0,36,7.9,156.46,A,A4,10,OWN,66000.0,Oct-11,Fully Paid,debt_consolidation,KY,24.58,0,0.0,11,1,0,6
15000,15000,14975.0,36,6.0,456.54,A,A1,5,MORTGAGE,90000.0,Oct-11,Fully Paid,credit_card,CA,5.01,0,0.0,11,3,2,9
23675,23675,23675.0,60,20.3,631.21,E,E5,10,MORTGAGE,96000.0,Oct-11,Fully Paid,debt_consolidation,FL,19.27,0,0.0,11,4,4,9
13600,13600,13350.0,60,12.4,305.42,B,B4,6,MORTGAGE,85000.0,Oct-11,Fully Paid,debt_consolidation,VA,13.98,0,0.0,11,2,2,8
8500,8500,8500.0,36,13.4,288.41,C,C1,6,RENT,30000.0,Oct-11,Fully Paid,small_business,CA,23.68,0,0.0,11,1,1,3
20000,20000,19750.0,60,13.4,460.1,C,C1,10,MORTGAGE,53000.0,Oct-11,Charged Off,debt_consolidation,NV,21.98,1,1.0,11,4,3,5
15000,15000,15000.0,60,18.6,386.15,E,E1,4,RENT,66000.0,Oct-11,Fully Paid,small_business,CA,3.31,0,0.0,11,3,3,6
9400,9400,9400.0,60,19.4,246.02,E,E3,2,MORTGAGE,144000.0,Oct-11,Fully Paid,home_improvement,OH,8.68,0,0.0,11,1,1,14
2300,2300,2300.0,36,17.5,82.67,D,D4,5,RENT,78000.0,Oct-11,Fully Paid,credit_card,TX,5.93,0,0.0,11,0,0,7
3600,3600,3600.0,36,17.2,128.84,D,D3,10,MORTGAGE,23000.0,Oct-11,Charged Off,debt_consolidation,OR,9.5,0,0.0,11,0,0,2
20000,20000,20000.0,60,14.6,472.14,C,C3,5,MORTGAGE,55000.0,Oct-11,Fully Paid,home_improvement,AK,4.06,0,0.0,11,4,4,5
5000,5000,5000.0,36,9.9,161.13,B,B1,1,MORTGAGE,120000.0,Oct-11,Fully Paid,moving,WA,11.44,0,0.0,11,1,1,12
17000,17000,16750.0,60,10.6,366.67,B,B2,9,MORTGAGE,82882.0,Oct-11,Fully Paid,home_improvement,CA,10.94,0,0.0,11,3,3,8
14300,14300,14300.0,60,7.9,289.27,A,A4,4,MORTGAGE,38400.0,Oct-11,Fully Paid,other,FL,20.09,0,0.0,11,2,2,3
15000,15000,15000.0,60,12.6,338.93,B,B5,2,MORTGAGE,33804.0,Oct-11,Fully Paid,other,KY,23.68,0,0.0,11,3,3,3
20000,20000,19975.0,60,10.6,431.37,B,B2,1,MORTGAGE,100000.0,Oct-11,Fully Paid,debt_consolidation,TX,12.26,0,0.0,11,4,3,10
21000,21000,20750.0,36,10.6,684.04,B,B2,6,RENT,117000.0,Oct-11,Fully Paid,debt_consolidation,CA,20.02,0,0.0,11,4,4,11
14400,14400,14400.0,36,14.2,494.05,C,C2,6,RENT,78000.0,Oct-11,Fully Paid,debt_consolidation,CA,20.52,0,0.0,11,2,2,7
7200,7200,7200.0,36,12.4,240.59,B,B4,5,MORTGAGE,46700.0,Oct-11,Fully Paid,debt_consolidation,NC,9.76,0,0.0,11,1,1,4
4800,4800,4800.0,36,7.9,150.2,A,A4,5,RENT,47664.0,Oct-11,Fully Paid,other,LA,9.19,0,0.0,11,0,0,4
15350,15350,15325.0,60,13.4,353.13,C,C1,10,MORTGAGE,38400.0,Oct-11,Charged Off,debt_consolidation,WA,28.63,0,0.0,11,3,3,3
6500,6500,6500.0,36,12.6,218.05,B,B5,2,RENT,28800.0,Oct-11,Fully Paid,car,AZ,3.96,0,0.0,11,1,1,2
6000,6000,5750.0,36,7.9,187.75,A,A4,10,OWN,52000.0,Oct-11,Fully Paid,debt_consolidation,FL,6.32,0,0.0,11,1,1,5
2800,2800,2800.0,36,10.6,91.21,B,B2,10,RENT,15600.0,Oct-11,Fully Paid,major_purchase,IL,20.92,1,1.0,11,0,0,1
12000,12000,12000.0,36,7.5,373.33,A,A3,1,RENT,120000.0,Oct-11,Fully Paid,debt_consolidation,AZ,5.42,0,0.0,11,2,2,12
12000,12000,12000.0,36,6.6,368.45,A,A2,2,MORTGAGE,50000.0,Oct-11,Fully Paid,other,TX,16.03,0,0.0,11,2,2,5
19425,19425,19400.0,60,12.4,436.24,B,B4,2,MORTGAGE,38702.78,Oct-11,Charged Off,debt_consolidation,CA,18.45,0,0.0,11,3,3,3
21000,21000,21000.0,36,12.6,704.45,B,B5,9,MORTGAGE,200000.0,Oct-11,Fully Paid,debt_consolidation,MN,7.92,1,0.0,11,4,4,20
6900,6900,6900.0,36,10.6,224.76,B,B2,2,MORTGAGE,120000.0,Oct-11,Fully Paid,debt_consolidation,TX,13.42,0,0.0,11,1,1,12
15000,15000,15000.0,36,12.4,501.23,B,B4,4,RENT,55000.0,Oct-11,Fully Paid,other,TX,24.04,0,0.0,11,3,3,5
4500,4500,4500.0,36,12.6,150.96,B,B5,6,RENT,60000.0,Oct-11,Fully Paid,credit_card,NV,13.5,0,0.0,11,0,0,6
32000,32000,32000.0,60,19.9,846.21,E,E4,9,RENT,112000.0,Oct-11,Fully Paid,debt_consolidation,NY,13.25,0,0.0,11,6,6,11
9000,9000,9000.0,36,12.6,301.91,B,B5,7,RENT,33000.0,Oct-11,Fully Paid,debt_consolidation,PA,23.38,1,1.0,11,1,1,3
9825,9825,9825.0,36,7.9,307.43,A,A4,10,OWN,50000.0,Oct-11,Fully Paid,small_business,WI,19.87,0,0.0,11,1,1,5
10625,10625,10625.0,36,12.4,355.04,B,B4,10,MORTGAGE,57600.0,Oct-11,Fully Paid,debt_consolidation,IL,15.06,1,1.0,11,2,2,5
12000,12000,11975.0,60,15.2,287.19,C,C4,10,RENT,25000.0,Oct-11,Fully Paid,debt_consolidation,CA,11.47,0,0.0,11,2,2,2
35000,35000,34750.0,36,8.9,1111.37,A,A5,10,RENT,83000.0,Oct-11,Fully Paid,debt_consolidation,NY,16.64,0,0.0,11,7,6,8
7000,7000,7000.0,36,6.6,214.93,A,A2,2,MORTGAGE,54000.0,Oct-11,Charged Off,debt_consolidation,MA,21.69,0,0.0,11,1,1,5
8000,8000,8000.0,36,12.6,268.36,B,B5,5,RENT,42000.0,Oct-11,Fully Paid,debt_consolidation,NY,23.71,0,0.0,11,1,1,4
16200,16200,16150.0,60,14.6,382.43,C,C3,4,RENT,55000.0,Oct-11,Fully Paid,other,CA,20.75,0,0.0,11,3,3,5
16000,16000,16000.0,60,12.6,361.52,B,B5,1,MORTGAGE,30000.0,Oct-11,Fully Paid,other,GA,10.88,0,0.0,11,3,3,3
3000,3000,3000.0,36,6.6,92.12,A,A2,2,MORTGAGE,80000.0,Oct-11,Fully Paid,small_business,MO,22.06,0,0.0,11,0,0,8
4000,4000,4000.0,36,12.6,134.18,B,B5,1,RENT,19200.0,Oct-11,Fully Paid,major_purchase,CA,2.5,0,0.0,11,0,0,1
12000,12000,12000.0,36,7.9,375.49,A,A4,1,RENT,39900.0,Oct-11,Fully Paid,debt_consolidation,SC,2.92,0,0.0,11,2,2,3
14000,14000,13975.0,60,12.4,314.41,B,B4,1,RENT,78000.0,Oct-11,Fully Paid,debt_consolidation,NY,6.71,0,0.0,11,2,2,7
18000,18000,18000.0,60,20.3,479.9,E,E5,2,RENT,98900.0,Oct-11,Fully Paid,small_business,FL,22.62,0,0.0,11,3,3,9
5000,5000,5000.0,36,7.9,156.46,A,A4,7,RENT,27096.0,Oct-11,Charged Off,debt_consolidation,NY,1.11,0,0.0,11,1,1,2
15000,15000,15000.0,36,6.0,456.54,A,A1,1,MORTGAGE,62000.0,Oct-11,Fully Paid,other,FL,2.63,0,0.0,11,3,3,6
3000,3000,3000.0,36,9.9,96.68,B,B1,1,MORTGAGE,39996.0,Oct-11,Fully Paid,vacation,UT,15.63,1,1.0,11,0,0,3
3000,3000,3000.0,36,13.4,101.8,C,C1,2,RENT,40000.0,Oct-11,Fully Paid,other,VA,16.59,0,0.0,11,0,0,4
30000,30000,30000.0,60,14.6,708.2,C,C3,10,MORTGAGE,66936.0,Oct-11,Fully Paid,debt_consolidation,SC,19.9,0,0.0,11,6,6,6
10000,10000,10000.0,36,13.4,339.31,C,C1,10,MORTGAGE,50000.0,Oct-11,Fully Paid,other,CA,3.55,0,0.0,11,2,2,5
10000,10000,10000.0,36,10.6,325.74,B,B2,2,RENT,64125.0,Oct-11,Fully Paid,debt_consolidation,IL,9.11,0,0.0,11,2,2,6
2600,2600,2600.0,36,11.7,86.0,B,B3,4,MORTGAGE,77000.0,Oct-11,Fully Paid,debt_consolidation,CA,15.46,0,0.0,11,0,0,7
2200,2200,2200.0,60,12.6,49.71,B,B5,1,RENT,32004.0,Oct-11,Fully Paid,major_purchase,CO,23.77,0,0.0,11,0,0,3
15000,15000,15000.0,36,19.0,550.07,E,E2,10,RENT,183000.0,Oct-11,Fully Paid,debt_consolidation,NY,12.16,0,0.0,11,3,3,18
3800,3800,3800.0,36,18.6,138.61,E,E1,3,MORTGAGE,30000.0,Oct-11,Fully Paid,credit_card,TX,19.0,0,0.0,11,0,0,3
3000,3000,3000.0,36,7.5,93.34,A,A3,4,RENT,49000.0,Oct-11,Fully Paid,moving,CA,12.54,0,0.0,11,0,0,4
30000,30000,30000.0,36,10.6,977.2,B,B2,10,RENT,75000.0,Oct-11,Fully Paid,debt_consolidation,PA,20.58,0,0.0,11,6,6,7
10400,10400,10375.0,60,19.0,269.96,E,E2,5,RENT,27600.0,Oct-11,Charged Off,car,OH,10.74,1,0.0,11,2,2,2
16000,16000,15750.0,36,13.4,542.89,C,C1,10,MORTGAGE,49578.0,Oct-11,Fully Paid,credit_card,GA,19.12,0,0.0,11,3,3,4
7500,7500,7500.0,36,7.5,233.34,A,A3,6,MORTGAGE,40000.0,Oct-11,Fully Paid,small_business,CA,9.33,0,0.0,11,1,1,4
10200,10200,10200.0,36,12.4,340.84,B,B4,10,MORTGAGE,126000.0,Oct-11,Fully Paid,home_improvement,CT,11.75,0,0.0,11,2,2,12
4000,4000,4000.0,36,12.6,134.18,B,B5,10,MORTGAGE,43500.0,Oct-11,Fully Paid,home_improvement,PA,13.57,0,0.0,11,0,0,4
17000,17000,17000.0,36,6.6,521.97,A,A2,10,OWN,44004.0,Oct-11,Fully Paid,debt_consolidation,WV,24.73,0,0.0,11,3,3,4
30000,30000,30000.0,60,18.6,772.29,E,E1,10,MORTGAGE,68000.0,Oct-11,Fully Paid,other,AZ,2.12,0,0.0,11,6,6,6
11000,11000,11000.0,36,11.7,363.84,B,B3,1,MORTGAGE,29232.0,Oct-11,Charged Off,home_improvement,FL,21.02,0,0.0,11,2,2,2
10000,10000,10000.0,36,6.0,304.36,A,A1,4,MORTGAGE,50000.0,Oct-11,Fully Paid,home_improvement,NJ,7.68,0,0.0,11,2,2,5
12000,12000,12000.0,36,6.0,365.23,A,A1,10,MORTGAGE,41000.0,Oct-11,Fully Paid,major_purchase,MO,2.55,0,0.0,11,2,2,4
4000,4000,4000.0,36,6.6,122.82,A,A2,1,RENT,50000.0,Oct-11,Fully Paid,credit_card,NY,26.34,0,0.0,11,0,0,5
35000,35000,35000.0,60,22.7,981.45,G,G1,8,RENT,125000.0,Oct-11,Fully Paid,debt_consolidation,NC,16.27,0,0.0,11,7,7,12
5200,5200,5200.0,36,12.4,173.76,B,B4,5,OWN,21600.0,Oct-11,Fully Paid,credit_card,CA,15.44,0,0.0,11,1,1,2
11650,11650,11650.0,36,6.6,357.7,A,A2,10,MORTGAGE,100000.0,Oct-11,Fully Paid,debt_consolidation,MN,9.04,0,0.0,11,2,2,10
9250,9250,9225.0,36,7.9,289.44,A,A4,1,MORTGAGE,92700.0,Oct-11,Fully Paid,debt_consolidation,OH,29.48,0,0.0,11,1,1,9
24000,24000,24000.0,60,20.8,647.8,F,F1,10,MORTGAGE,115000.0,Oct-11,Charged Off,debt_consolidation,IL,4.01,1,1.0,11,4,4,11
3600,3600,3600.0,36,15.2,125.28,C,C4,10,RENT,74400.0,Oct-11,Fully Paid,major_purchase,HI,1.0,0,0.0,11,0,0,7
18875,18875,18850.0,60,19.4,494.01,E,E3,3,MORTGAGE,53700.0,Oct-11,Fully Paid,debt_consolidation,TX,23.93,0,0.0,11,3,3,5
6400,6400,6400.0,36,6.0,194.79,A,A1,1,MORTGAGE,55000.0,Oct-11,Fully Paid,debt_consolidation,IL,19.27,0,0.0,11,1,1,5
16000,16000,16000.0,36,17.2,572.6,D,D3,10,RENT,96000.0,Oct-11,Fully Paid,credit_card,CA,12.1,0,0.0,11,3,3,9
11600,11600,11600.0,60,16.7,286.86,D,D2,3,RENT,69000.0,Oct-11,Fully Paid,wedding,WI,18.16,0,0.0,11,2,2,6
7500,7500,7500.0,36,6.6,230.28,A,A2,3,MORTGAGE,48000.0,Oct-11,Fully Paid,debt_consolidation,TX,16.65,0,0.0,11,1,1,4
11000,11000,11000.0,36,10.6,358.31,B,B2,10,MORTGAGE,30000.0,Oct-11,Fully Paid,debt_consolidation,MI,13.8,1,0.0,11,2,2,3
7200,7200,6950.0,36,12.6,241.53,B,B5,7,RENT,48000.0,Oct-11,Fully Paid,debt_consolidation,WA,5.25,0,0.0,11,1,1,4
6000,6000,6000.0,36,15.9,210.83,C,C5,9,OWN,44000.0,Oct-11,Fully Paid,debt_consolidation,OH,20.18,1,1.0,11,1,1,4
11000,11000,11000.0,36,6.6,337.75,A,A2,1,RENT,53000.0,Oct-11,Fully Paid,debt_consolidation,DE,19.49,0,0.0,11,2,2,5
10000,10000,10000.0,36,18.2,362.78,D,D5,1,RENT,85000.0,Oct-11,Fully Paid,debt_consolidation,NC,4.6,0,0.0,11,2,2,8
12000,12000,12000.0,60,9.9,254.44,B,B1,10,MORTGAGE,70008.0,Oct-11,Charged Off,other,MA,8.02,0,0.0,11,2,2,7
3950,3950,3925.0,36,10.6,128.67,B,B2,10,MORTGAGE,60000.0,Oct-11,Fully Paid,debt_consolidation,UT,10.74,0,0.0,11,0,0,6
35000,35000,35000.0,60,20.8,944.71,F,F1,2,MORTGAGE,158000.0,Oct-11,Charged Off,debt_consolidation,WA,16.81,0,0.0,11,7,7,15
8000,8000,8000.0,36,7.5,248.89,A,A3,1,OWN,24000.0,Oct-11,Fully Paid,debt_consolidation,NJ,18.05,0,0.0,11,1,1,2
4500,4500,4500.0,36,9.9,145.02,B,B1,10,RENT,52000.0,Oct-11,Fully Paid,other,MD,16.89,0,0.0,11,0,0,5
14000,14000,14000.0,60,15.9,340.16,C,C5,10,RENT,60000.0,Oct-11,Charged Off,debt_consolidation,FL,12.9,0,0.0,11,2,2,6
6950,6950,6950.0,60,13.4,159.89,C,C1,3,MORTGAGE,24780.0,Oct-11,Fully Paid,home_improvement,CA,3.15,0,0.0,11,1,1,2
18000,18000,18000.0,36,9.9,580.05,B,B1,6,OWN,51000.0,Oct-11,Fully Paid,debt_consolidation,NJ,21.53,0,0.0,11,3,3,5
12000,12000,12000.0,60,15.9,291.57,C,C5,1,RENT,31200.0,Oct-11,Charged Off,house,MN,13.31,0,0.0,11,2,2,3
15000,15000,15000.0,60,18.2,382.95,D,D5,1,MORTGAGE,135000.0,Oct-11,Fully Paid,debt_consolidation,TX,10.28,0,0.0,11,3,3,13
2000,2000,1750.0,36,11.7,66.16,B,B3,3,RENT,34800.0,Oct-11,Fully Paid,credit_card,MD,21.9,0,0.0,11,0,0,3
2000,2000,1975.0,36,16.2,70.61,D,D1,5,RENT,108000.0,Oct-11,Fully Paid,home_improvement,NY,20.34,0,0.0,11,0,0,10
10500,10500,10500.0,36,6.6,322.39,A,A2,3,MORTGAGE,58239.96,Oct-11,Fully Paid,medical,OK,16.26,0,0.0,11,2,2,5
2050,2050,2050.0,36,15.9,72.04,C,C5,9,MORTGAGE,35380.0,Oct-11,Fully Paid,debt_consolidation,FL,23.34,0,0.0,11,0,0,3
7500,7500,7500.0,36,17.5,269.57,D,D4,10,OWN,66000.0,Oct-11,Fully Paid,debt_consolidation,PA,11.87,0,0.0,11,1,1,6
8400,8400,8400.0,36,7.5,261.34,A,A3,8,MORTGAGE,27600.0,Oct-11,Fully Paid,debt_consolidation,NC,12.96,0,0.0,11,1,1,2
7200,7200,7200.0,36,10.6,234.53,B,B2,4,MORTGAGE,51600.0,Oct-11,Fully Paid,credit_card,CA,11.16,0,0.0,11,1,1,5
6800,6800,6800.0,36,6.0,206.97,A,A1,3,RENT,124000.0,Oct-11,Fully Paid,debt_consolidation,VA,4.23,0,0.0,11,1,1,12
12500,12500,12500.0,36,6.0,380.45,A,A1,3,MORTGAGE,53000.0,Oct-11,Fully Paid,medical,FL,12.09,0,0.0,11,2,2,5
5000,5000,5000.0,36,14.2,171.55,C,C2,4,RENT,30000.0,Oct-11,Fully Paid,credit_card,NV,3.88,0,0.0,11,1,1,3
2600,2600,2600.0,36,7.9,81.36,A,A4,3,MORTGAGE,43000.0,Oct-11,Charged Off,other,IL,17.44,0,0.0,11,0,0,4
15000,15000,15000.0,36,6.0,456.54,A,A1,4,MORTGAGE,75000.0,Oct-11,Fully Paid,major_purchase,OH,0.7,0,0.0,11,3,3,7
19950,19950,19650.0,60,10.6,430.29,B,B2,2,RENT,65000.0,Oct-11,Fully Paid,debt_consolidation,WA,3.51,0,0.0,11,3,3,6
30000,30000,29725.0,60,20.8,809.75,F,F1,2,MORTGAGE,215004.0,Oct-11,Fully Paid,debt_consolidation,VA,15.86,0,0.0,11,6,5,21
2000,2000,2000.0,36,14.6,68.99,C,C3,1,RENT,42000.0,Oct-11,Fully Paid,other,IL,11.2,0,0.0,11,0,0,4
12750,12750,12750.0,60,17.2,318.73,D,D3,1,MORTGAGE,70000.0,Oct-11,Fully Paid,debt_consolidation,WI,20.59,0,0.0,11,2,2,7
6400,6400,6375.0,36,6.6,196.51,A,A2,2,RENT,90000.0,Oct-11,Fully Paid,moving,CA,7.92,0,0.0,11,1,1,9
5000,5000,5000.0,36,6.0,152.18,A,A1,10,MORTGAGE,65000.0,Oct-11,Charged Off,credit_card,OH,23.13,0,0.0,11,1,1,6
18000,18000,17725.0,36,8.9,571.56,A,A5,4,RENT,75000.0,Oct-11,Fully Paid,debt_consolidation,NY,10.98,0,0.0,11,3,3,7
20000,20000,19750.0,36,14.2,686.18,C,C2,2,MORTGAGE,68808.0,Oct-11,Fully Paid,debt_consolidation,GA,11.74,0,0.0,11,4,3,6
14000,14000,13975.0,60,20.3,373.26,E,E5,10,RENT,44000.0,Oct-11,Charged Off,credit_card,NV,19.83,0,0.0,11,2,2,4
7500,7500,7250.0,36,11.7,248.07,B,B3,10,MORTGAGE,80000.0,Oct-11,Fully Paid,home_improvement,FL,12.12,0,0.0,11,1,1,8
13800,13800,13800.0,36,8.9,438.2,A,A5,7,MORTGAGE,48000.0,Oct-11,Fully Paid,home_improvement,KY,4.17,0,0.0,11,2,2,4
10700,10700,10675.0,36,13.4,363.06,C,C1,7,RENT,60000.0,Oct-11,Charged Off,debt_consolidation,NJ,24.18,1,1.0,11,2,2,6
10000,10000,9750.0,36,7.9,312.91,A,A4,3,RENT,80004.0,Oct-11,Fully Paid,debt_consolidation,NY,16.09,0,0.0,11,2,1,8
20000,20000,19950.0,60,13.4,460.1,C,C1,10,OWN,39000.0,Oct-11,Fully Paid,debt_consolidation,HI,24.74,0,0.0,11,4,3,3
11500,11500,11475.0,36,6.6,353.1,A,A2,1,RENT,34100.0,Oct-11,Fully Paid,credit_card,AZ,10.28,0,0.0,11,2,2,3
10000,10000,10000.0,36,12.4,334.16,B,B4,1,RENT,60000.0,Oct-11,Fully Paid,debt_consolidation,CA,13.58,0,0.0,11,2,2,6
5000,5000,5000.0,36,11.7,165.38,B,B3,3,RENT,21120.0,Oct-11,Charged Off,debt_consolidation,FL,19.15,0,0.0,11,1,1,2
4000,4000,4000.0,36,15.2,139.2,C,C4,10,RENT,63700.0,Oct-11,Charged Off,debt_consolidation,NY,9.48,1,1.0,11,0,0,6
20000,20000,19975.0,60,17.2,499.96,D,D3,4,OWN,40000.0,Oct-11,Charged Off,small_business,CA,19.76,0,0.0,11,4,3,4
15000,15000,15000.0,36,7.5,466.67,A,A3,1,MORTGAGE,30000.0,Oct-11,Fully Paid,small_business,IL,3.4,0,0.0,11,3,3,3
10000,10000,10000.0,36,6.6,307.04,A,A2,1,MORTGAGE,78000.0,Oct-11,Fully Paid,home_improvement,PA,18.52,0,0.0,11,2,2,7
5000,5000,4750.0,36,7.9,156.46,A,A4,3,MORTGAGE,60000.0,Oct-11,Fully Paid,debt_consolidation,NC,9.18,1,1.0,11,1,0,6
5000,5000,5000.0,36,7.5,155.56,A,A3,10,MORTGAGE,65000.0,Oct-11,Fully Paid,debt_consolidation,CA,5.65,0,0.0,11,1,1,6
12000,12000,12000.0,36,14.2,411.71,C,C2,3,MORTGAGE,160000.0,Oct-11,Fully Paid,debt_consolidation,NJ,14.4,0,0.0,11,2,2,16
35000,35000,35000.0,60,11.7,773.44,B,B3,2,MORTGAGE,100000.0,Oct-11,Fully Paid,debt_consolidation,WV,14.12,0,0.0,11,7,7,10
7000,7000,7000.0,36,6.6,214.93,A,A2,3,RENT,67752.0,Oct-11,Fully Paid,debt_consolidation,CA,15.62,0,0.0,11,1,1,6
7000,7000,7000.0,36,12.6,234.82,B,B5,1,RENT,35000.0,Oct-11,Fully Paid,medical,UT,4.97,0,0.0,11,1,1,3
8000,8000,8000.0,36,7.5,248.89,A,A3,10,MORTGAGE,60000.0,Oct-11,Fully Paid,car,KY,8.58,0,0.0,11,1,1,6
1400,1400,1400.0,36,22.0,53.52,F,F4,5,RENT,22000.0,Oct-11,Fully Paid,moving,OR,6.49,0,0.0,11,0,0,2
18000,18000,17750.0,60,21.2,489.8,F,F2,2,MORTGAGE,65000.0,Oct-11,Fully Paid,wedding,OH,23.56,0,0.0,11,3,3,6
5000,5000,5000.0,36,12.6,167.73,B,B5,4,RENT,32000.0,Oct-11,Charged Off,other,CA,9.38,0,0.0,11,1,1,3
4000,4000,3750.0,36,12.6,134.18,B,B5,4,RENT,34000.0,Oct-11,Fully Paid,debt_consolidation,CO,14.36,0,0.0,11,0,0,3
20000,20000,19975.0,60,23.9,574.32,G,G4,1,MORTGAGE,135000.0,Oct-11,Fully Paid,debt_consolidation,CA,9.47,0,0.0,11,4,3,13
35000,35000,34990.4308,36,8.9,1111.37,A,A5,4,RENT,156000.0,Oct-11,Fully Paid,major_purchase,VA,14.08,0,0.0,11,7,6,15
12600,12600,12600.0,60,16.7,311.59,D,D2,1,RENT,97400.0,Oct-11,Fully Paid,other,CA,7.98,0,0.0,11,2,2,9
10000,10000,9750.0,60,9.9,212.03,B,B1,10,MORTGAGE,105996.0,Oct-11,Charged Off,debt_consolidation,IL,12.87,0,0.0,11,2,1,10
17000,17000,16725.0,60,11.7,375.67,B,B3,6,RENT,35496.0,Oct-11,Fully Paid,debt_consolidation,OH,14.77,0,0.0,11,3,3,3
30000,30000,29975.0,60,12.4,673.72,B,B4,10,MORTGAGE,100000.0,Oct-11,Fully Paid,debt_consolidation,CO,18.66,0,0.0,11,6,5,10
8000,8000,7975.0,36,9.9,257.8,B,B1,2,RENT,39600.0,Oct-11,Fully Paid,debt_consolidation,TX,20.45,0,0.0,11,1,1,3
12000,12000,12000.0,36,6.0,365.23,A,A1,5,OWN,24000.0,Oct-11,Fully Paid,major_purchase,NJ,13.45,0,0.0,11,2,2,2
2875,2875,2875.0,36,11.7,95.1,B,B3,6,RENT,17000.0,Oct-11,Fully Paid,credit_card,WI,20.47,1,1.0,11,0,0,1
14000,14000,13950.0,36,6.0,426.1,A,A1,2,RENT,69000.0,Oct-11,Fully Paid,debt_consolidation,NY,5.34,0,0.0,11,2,2,6
4000,4000,4000.0,36,8.9,127.02,A,A5,2,MORTGAGE,112000.0,Oct-11,Fully Paid,home_improvement,AK,3.19,2,0.0,11,0,0,11
10800,10800,10800.0,36,16.2,381.25,D,D1,9,RENT,75000.0,Oct-11,Charged Off,other,MA,5.08,0,0.0,11,2,2,7
2000,2000,2000.0,36,13.4,67.87,C,C1,2,RENT,20400.0,Oct-11,Fully Paid,car,CO,12.41,0,0.0,11,0,0,2
6000,6000,6000.0,36,6.0,182.62,A,A1,10,RENT,41000.0,Oct-11,Fully Paid,debt_consolidation,NY,16.27,0,0.0,11,1,1,4
24000,24000,23975.0,60,10.6,517.64,B,B2,5,MORTGAGE,42000.0,Oct-11,Charged Off,debt_consolidation,WA,8.94,0,0.0,11,4,4,4
14400,14400,14375.0,60,15.2,344.62,C,C4,6,MORTGAGE,42000.0,Oct-11,Fully Paid,debt_consolidation,NC,4.43,0,0.0,11,2,2,4
35000,35000,34975.0,60,19.9,925.54,E,E4,10,MORTGAGE,69000.0,Oct-11,Charged Off,debt_consolidation,VA,23.18,0,0.0,11,7,6,6
2000,2000,1975.0,36,7.5,62.23,A,A3,3,MORTGAGE,132000.0,Oct-11,Fully Paid,home_improvement,TX,24.33,0,0.0,11,0,0,13
3000,3000,3000.0,36,6.0,91.31,A,A1,1,OWN,64000.0,Oct-11,Fully Paid,credit_card,TX,3.81,0,0.0,11,0,0,6
1700,1700,1700.0,36,7.9,53.2,A,A4,1,MORTGAGE,32000.0,Oct-11,Fully Paid,other,TX,22.65,0,0.0,11,0,0,3
25450,25450,25425.0,60,21.6,698.14,F,F3,9,RENT,50000.0,Oct-11,Charged Off,debt_consolidation,IL,18.0,0,0.0,11,5,5,5
10000,10000,10000.0,36,6.0,304.36,A,A1,8,MORTGAGE,130000.0,Oct-11,Fully Paid,home_improvement,KY,9.23,0,0.0,11,2,2,13
12000,12000,12000.0,60,18.2,306.36,D,D5,6,MORTGAGE,119000.0,Oct-11,Fully Paid,debt_consolidation,VA,9.13,0,0.0,11,2,2,11
27000,27000,26975.0,60,14.6,637.38,C,C3,10,MORTGAGE,50000.0,Oct-11,Fully Paid,credit_card,CA,21.67,0,0.0,11,5,5,5
6000,6000,6000.0,36,12.4,200.5,B,B4,3,RENT,45600.0,Oct-11,Charged Off,major_purchase,NJ,10.63,0,0.0,11,1,1,4
23000,23000,22475.0,60,9.9,487.67,B,B1,10,MORTGAGE,66996.0,Oct-11,Fully Paid,debt_consolidation,TX,8.15,0,0.0,11,4,4,6
6000,6000,5975.0,36,12.6,201.27,B,B5,3,MORTGAGE,47300.0,Oct-11,Fully Paid,home_improvement,TX,8.42,0,0.0,11,1,1,4
15000,15000,15000.0,60,12.6,338.93,B,B5,1,MORTGAGE,54000.0,Oct-11,Fully Paid,debt_consolidation,NY,15.8,0,0.0,11,3,3,5
12000,12000,11750.0,36,12.4,400.99,B,B4,4,OWN,41600.0,Oct-11,Fully Paid,credit_card,CA,13.64,0,0.0,11,2,2,4
13225,13225,13225.0,36,16.7,470.0,D,D2,10,RENT,40000.0,Oct-11,Fully Paid,debt_consolidation,OR,22.47,0,0.0,11,2,2,4
